configuration,sessionid,type,distanceNeighbors,mean_degree,probRewire,seed,true_believer,n,step,result,finalPercentages,decay,winner,winnerPercent,winnerLead,meanDistance,clusterCoeff,meanDegree,degreeDistribution,timeShock,lengthShock,sizeShock,percentShocked
tmp,1,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.185, 0.231, 0.219, 0.365",0,undecided,0.365,0.134,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,3,-0.2,1
tmp,2,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.184, 0.234, 0.219, 0.363",0,undecided,0.363,0.129,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,4,-0.2,1
tmp,3,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.186, 0.229, 0.219, 0.366",0,undecided,0.366,0.137,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,3,-0.1,1
tmp,4,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.185, 0.232, 0.219, 0.364",0,undecided,0.364,0.132,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,4,-0.1,1
tmp,5,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.197, 0.218, 0.222, 0.363",0,undecided,0.363,0.141,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,3,0,1
tmp,6,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.197, 0.217, 0.224, 0.362",0,undecided,0.362,0.138,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,4,0,1
tmp,7,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.204, 0.214, 0.224, 0.358",0,undecided,0.358,0.134,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,3,0.1,1
tmp,8,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.204, 0.214, 0.224, 0.358",0,undecided,0.358,0.134,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,4,0.1,1
tmp,9,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.204, 0.214, 0.224, 0.358",0,undecided,0.358,0.134,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,3,0.2,1
tmp,10,BA_min2,10,20,0,0.18,0.6,1000,11,converge,"0.208, 0.214, 0.224, 0.354",0,undecided,0.354,0.13,2.561786,0.05906,19.89,"[0,0,0,0,0,0,0,0,0,0,0.159,0.128,0.097,0.084,0.071,0.051,0.044,0.035,0.045,0.024,0.018,0.019,0.011,0.019,0.013,0.014,0.011,0.007,0.009,0.014,0.008,0.009,0.006,0.003,0.003,0.005,0.005,0.003,0.005,0.006,0.002,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0,0.001,0.004,0.002,0.001,0.002,0.003,0,0.004,0.001,0,0.001,0,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0,0,0.001,0.001,0.004,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001]",3,4,0.2,1
